mouse_Individual,Vaccine,INF_IGS,INF_OspC,Tot_infected,processed_IGS,processed_OspC,TOT_PROCESSED,PER_IGS,PEr_OspC,Per_infected,ELISA last absorbance reading,proportion of ticks infected ,Notes
E4647,True ,5,3,5,6,4,6,83.33333333,75,83.33333333,,0.548387097,1 individual had a band at 750bps. Likely Borrelia miyamotoi
E5286,True ,0,0,0,6,6,6,0,0,0,,,
E5299,True ,1,1,1,5,5,5,20,20,20,,,
E5392,True ,1,1,1,6,6,6,16.66666667,16.66666667,16.66666667,,,
E5972,True ,6,2,6,7,5,7,85.71428571,40,85.71428571,,,
E6024,True ,0,0,0,1,1,1,0,0,0,,,
E6054,True ,3,3,3,3,3,3,100,100,100,,,
E6059,True ,0,1,1,6,5,6,0,20,16.66666667,,,
E6088,True ,7,6,7,8,8,8,87.5,75,87.5,3.0605,,
E6122,True ,0,1,1,6,6,6,0,16.66666667,16.66666667,,,
E6125,True ,4,4,5,6,6,6,66.66666667,66.66666667,83.33333333,,,
E6143,True ,0,0,0,6,6,6,0,0,0,,,
E6157,True ,0,1,1,3,3,3,0,33.33333333,33.33333333,,,
E6163,True ,6,5,6,7,7,7,85.71428571,71.42857143,85.71428571,2.20505,,
E6731,True ,4,3,5,6,6,6,66.66666667,50,83.33333333,,,1 individual had a band at 750bps. Likely Borrelia miyamotoi
E6733,True ,5,4,5,6,6,6,83.33333333,66.66666667,83.33333333,,,
E6740,True ,4,3,4,6,3,6,66.66666667,100,66.66666667,,,
E6749,True ,0,1,1,6,6,6,0,16.66666667,16.66666667,,,
E6879,True ,1,1,2,6,6,6,16.66666667,16.66666667,33.33333333,,,
E7310,True ,3,5,5,6,5,6,50,100,83.33333333,,,
E7353,True ,4,5,5,6,5,6,66.66666667,100,83.33333333,,,
E7409,True ,2,2,4,6,6,6,33.33333333,33.33333333,66.66666667,,,
E4649,Sham,7,7,7,7,7,7,100,100,100,,0.732758621,
E4695,Sham,4,4,4,5,5,5,80,80,80,,,
E5362,Sham,6,2,6,6,6,6,100,33.33333333,100,,,
E5372,Sham,3,5,6,6,6,6,50,83.33333333,100,,"One individual is positive for B. miyamotoi based on IGS so did not count toward OspC postive because on band at 1000bps (However, although most likely is positive for IGS for B. burgdorferi, there is no band)",1 individual had a band at 750bps. Likely Borrelia miyamotoi
E5394,Sham,0,0,0,4,4,4,0,0,0,,,
E5911,Sham,4,3,4,6,6,6,66.66666667,50,66.66666667,,,
E5945,Sham,1,1,1,1,1,1,100,100,100,,,
E6019,Sham,0,1,1,6,4,6,0,25,16.66666667,,,
E6063,Sham,5,5,6,6,5,6,83.33333333,100,100,,,
E6113,Sham,0,0,0,6,5,6,0,0,0,,,
E6161,Sham,5,5,6,6,6,6,83.33333333,83.33333333,100,,,
E6192,Sham,5,4,5,6,5,6,83.33333333,80,83.33333333,,,
E6729,Sham,5,3,5,6,6,6,83.33333333,50,83.33333333,,,
E6734,Sham,6,5,6,7,6,7,85.71428571,83.33333333,85.71428571,,,
E6798,Sham,6,4,6,6,5,6,100,80,100,,,
E7309,Sham,4,4,4,5,5,5,80,80,80,,,
E7312,Sham,7,8,8,9,9,9,77.77777778,88.88888889,88.88888889,3.0203215,,
E7365,Sham,5,4,5,6,6,6,83.33333333,66.66666667,83.33333333,,,
E7366,Sham,4,3,4,6,6,6,66.66666667,50,66.66666667,,,
E7407,Sham,0,1,1,6,6,6,0,16.66666667,16.66666667,,,
